#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	stats
#open	2017-10-05-10-51-24
#fields	ts	peer	mem	pkts_proc	bytes_recv	pkts_dropped	pkts_link	pkt_lag	events_proc	events_queued	active_tcp_conns	active_udp_conns	active_icmp_conns	tcp_conns	udp_conns	icmp_conns	timers	active_timers	files	active_files	dns_requests	active_dns_requests	reassem_tcp_size	reassem_file_size	reassem_frag_size	reassem_unknown_size
#types	time	string	count	count	count	count	count	interval	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count
12016.678804	bro	83	14399	4956034	-	-	-	26405	26407	78	15	0	321	840	0	8300	355	417	0	0	0	1480	0	0	0
12317.712142	bro	83	10239	5782128	-	-	-	6192	6189	32	0	0	75	183	0	3369	136	103	0	1	1	0	0	0	0
12617.742471	bro	83	8461	4184316	-	-	-	8940	8940	27	16	0	111	270	0	3591	147	170	0	0	0	96	0	0	0
12917.977116	bro	83	9888	5137284	-	-	-	11469	11477	26	13	0	130	356	0	4100	137	199	0	0	0	0	0	0	0
13218.056976	bro	83	13863	6703083	-	-	-	20052	20043	56	9	0	235	605	0	5661	367	418	0	0	0	72	0	0	0
13518.592923	bro	83	11911	5007398	-	-	-	15177	15181	32	19	0	184	509	0	5616	222	272	0	0	0	0	0	0	0
13818.692678	bro	83	15387	9148856	-	-	-	16916	16914	51	29	0	174	723	0	5389	362	290	0	0	0	96	0	0	0
14119.671805	bro	83	9680	4694646	-	-	-	10832	10834	15	5	0	150	348	0	4197	96	203	0	0	0	0	0	0	0
14419.681092	bro	83	11621	6172376	-	-	-	12187	12187	41	0	0	164	444	0	4019	194	230	0	0	0	440	0	0	0
14719.865168	bro	83	15518	8805509	-	-	-	18771	18770	58	8	1	281	647	1	5635	418	375	0	0	0	144	0	0	0
#close	2017-10-05-10-51-41
